variable,aror,asd
Russian Federation,76.40908522,8748.364504
Rwanda,20,702.8356016
South Asia,26.46611335,1637.515774
Saudi Arabia,73.75090368,20028.64821
Sudan,28,2415.038162
Senegal,25.66476804,952.7683234
Singapore,81,52962.49157
Solomon Islands,11.00090227,2005.483643
Sierra Leone,11.77318438,505.2045112
El Salvador,28.99707305,4223.584579
Somalia,1.88,434.2088097
Serbia,67.05684137,5426.897946
Sub-Saharan Africa (excluding high income),19.99510048,1462.876344
Sub-Saharan Africa,19.99849775,1464.124539
Small states,46.22254884,11050.58302
Sao Tome and Principe,28,1714.680184
Suriname,45.4,5871.442003
Slovak Republic,80.4759,16535.91686
Slovenia,75.49850426,21652.27833
Sweden,91.50682826,51949.27143
Swaziland,28.57352278,2770.199475
Seychelles,56.51470815,15075.71944
Chad,5,664.2956519
East Asia & Pacific (IDA & IBRD countries),48.38662069,6656.615569
Europe & Central Asia (IDA & IBRD countries),64.49600188,7605.174007
Togo,11.31,578.4616936
Thailand,47.50496562,5910.620932
Tajikistan,20.47,795.8438644
Turkmenistan,17.99032446,6389.334143
Latin America & the Caribbean (IDA & IBRD countries),56.51407321,8196.103249
Timor-Leste,25.24624959,1405.387212
Middle East & North Africa (IDA & IBRD countries),42.22477835,3901.330813
Tonga,39.95,3748.641794
South Asia (IDA & IBRD),26.46611335,1637.515774
Sub-Saharan Africa (IDA & IBRD countries),19.99849775,1464.124539
Trinidad and Tobago,73.29694122,16040.52424
Tunisia,50.87967502,3688.646375
Turkey,58.34773401,10862.6004
Tuvalu,46.00915151,3083.615251
Tanzania,13,879.193814
Uganda,21.87617046,580.3835385
Ukraine,52.48180829,2185.728031
Upper middle income,55.69540778,7994.022621
Uruguay,66.4,15220.56603
United States,76.17673698,57638.15909
Uzbekistan,46.79128694,2110.647872
St. Vincent and the Grenadines,55.57461942,7006.596196
Vietnam,46.5,2214.387662
Vanuatu,24,2860.566475
World,45.91028204,10191.30982
Samoa,29.41173011,4030.013144
"Yemen, Rep.",24.57920836,990.334774
South Africa,54,5284.603604
Zambia,25.50657885,1269.573537
Zimbabwe,23.11998904,1029.076649
