Date,Time1,Time2,Vol_BTC_in_AUD,Vol_BTC_in_CAD,Vol_BTC_in_CNY,Vol_BTC_in_EUR,Vol_BTC_in_GBP,Vol_BTC_in_HKD,Vol_BTC_in_JPY,Vol_BTC_in_PLN,Vol_BTC_in_USD,Vol_BTC_in_others,price,volume
2000-01-01,00:00:00,UTC,,,,,,,,,,,,
2010-07-01,00:00:00,UTC,,,,,,,,,31858.88,,0.0644598946,1966.7527124432
2010-08-01,00:00:00,UTC,,,,,,,,,221738.775,,0.064572306,14289.6854245966
2010-09-01,00:00:00,UTC,,,,,,,,,216812.058,,0.061902896,13446.0816253759
2010-10-01,00:00:00,UTC,,,,,,,,,1105927.959,,0.108899283,117384.662225157
2010-11-01,00:00:00,UTC,,,,,,,,,826247.001,,0.2588409072,223727.431018741
2010-12-01,00:00:00,UTC,,,,,,,,,263653.099,,0.2384471352,63323.1614565748
2011-01-01,00:00:00,UTC,,,,3954.6044,,,,,377748.415,,0.3737088668,148407.684214766
2011-02-01,00:00:00,UTC,,,,1916.43315,,,,,367298.743000001,,0.9227864014,329726.221592421
2011-03-01,00:00:00,UTC,,,,515.594,,,,,243299.25,,0.8498566426,207217.698673932
2011-04-01,00:00:00,UTC,,,,503.92376,,,,,868760.723999999,,1.2143457915,1303436.58288153
2011-05-01,00:00:00,UTC,,,,37.88857,,,,,949022.93,,6.2275387771,6059633.49778438
2011-06-01,00:00:00,UTC,3,,102.818,100.80143,8,,,1,1230250.69,3,18.4706589677,23123145.7683069
2011-07-01,00:00:00,UTC,1,7.88,1365.617,14,7.65229531,,,5.57,1783.3609999,25.5,13.8333781142,24634.630708612
2011-08-01,00:00:00,UTC,3,30,3505.419,389.07988,11.03,,54.32018154,1.61,6681.13864168,109.45966663,10.1313053061,66836.3571096076
2011-09-01,00:00:00,UTC,3517.63274725,5.71,4894.11485,751.89014113,22.90561326,,1233.35249757,6.97718328,7039.464795685,5005.6696978,5.9026515352,40667.9413453312
2011-10-01,00:00:00,UTC,3975.32111437,2.772,4935.0471981,1671.52357838,9.32316877,953.55955315,6.88203891,15,13998.9668849,19294.5718963,3.6650501644,48901.3337567565
2011-11-01,00:00:00,UTC,7217.91064937,7.38910149,5207.9153202,2310.06124212,22.76773,565.88439681,59.50009763,2.14199588,164266.055805131,5296.29666469,2.739032302,470307.130111901
2011-12-01,00:00:00,UTC,18143.39874357,4981.70173582,9310.30013264,29478.78743917,18467.47412629,101.43735568,188.117699,8195.70338695,1860744.40203187,1740.53837042,3.4810637172,6548094.59213178
2012-01-01,00:00:00,UTC,3769.61523345,5056.16322971,9128.906,61523.97232914,23606.33439655,217.18789352,587.48188295,16093.20711835,3223498.40405971,6393.62891994,6.1720450136,19699326.8299827
2012-02-01,00:00:00,UTC,10866.3858615,9862.70668853,6288.573,51042.41733516,42731.37273497,,1398.19384363,13405.74331096,2855740.80832109,3894.34207908,5.1546803299,14479283.4574392
2012-03-01,00:00:00,UTC,9861.3187573,1435.12044934,8228.12,49876.08677683,48816.43143942,94.3117,1512.91400691,15565.83995697,1783625.74623348,5855.55806867,4.911478098,8705183.27189948
2012-04-01,00:00:00,UTC,14801.73037447,1683.55900582,7800.342,49191.29846646,49661.6833121,0.03,2377.85714565,11406.64888834,1692049.97599482,3365.46738094,4.9932513761,8428125.43101268
2012-05-01,00:00:00,UTC,10299.63922438,2994.16879572,42835.178,62961.90952978,66937.5189317,0.11154426,3199.04990379,14319.21584507,1304349.13874668,6275.33461541,5.05242598,6601718.65714215
2012-06-01,00:00:00,UTC,9612.70516214,8575.17323499,15166.403,96061.2397708199,64541.61143078,0.03797625,5084.95618942,17231.23221211,1496287.60556126,6684.97652761,5.979180586,9019513.11826398
2012-07-01,00:00:00,UTC,10302.13140776,8194.7802499,24984.22,131186.91643826,89250.2609087699,975.09643658,8672.94271807,15102.11127766,2060525.67855264,7707.04684535,7.8212244282,16530283.1246963
2012-08-01,00:00:00,UTC,13189.94958264,6267.19999879,45223.262,186484.73687557,82710.9627435101,838.90091242,37007.43411493,19497.75147702,2675324.37376437,8142.38866378,10.9423358047,29133288.904664
2012-09-01,00:00:00,UTC,10647.5705112,3114.52193296,19954.063,123122.4657934,51241.98890198,75.08078816,7888.65857365,8257.38500833,1048715.06778296,3963.99478623,11.4957393848,12016744.00931
2012-10-01,00:00:00,UTC,16970.30204037,2558.9018431,16625.572,143127.695449,32471.82308345,136.71273577,15457.32763844,9195.99760893,1298984.30700576,4052.14511323,11.6323609521,15035524.2655221
