Date,Time1,Time2,Vol_BTC_in_AUD,Vol_BTC_in_CAD,Vol_BTC_in_CNY,Vol_BTC_in_EUR,Vol_BTC_in_GBP,Vol_BTC_in_HKD,Vol_BTC_in_JPY,Vol_BTC_in_PLN,Vol_BTC_in_USD,Vol_BTC_in_others
2000-01-01,00:00:00,UTC,,,,,,,,,,
2010-07-01,00:00:00,UTC,,,,,,,,,31858.88,
2010-08-01,00:00:00,UTC,,,,,,,,,221738.775,
2010-09-01,00:00:00,UTC,,,,,,,,,216812.058,
2010-10-01,00:00:00,UTC,,,,,,,,,1105927.959,
2010-11-01,00:00:00,UTC,,,,,,,,,826247.001,
2010-12-01,00:00:00,UTC,,,,,,,,,263653.099,
2011-01-01,00:00:00,UTC,,,,3954.6044,,,,,377748.415,
2011-02-01,00:00:00,UTC,,,,1916.43315,,,,,367298.743000001,
2011-03-01,00:00:00,UTC,,,,515.594,,,,,243299.25,
2011-04-01,00:00:00,UTC,,,,503.92376,,,,,868760.723999999,
2011-05-01,00:00:00,UTC,,,,37.88857,,,,,949022.93,
2011-06-01,00:00:00,UTC,3,,102.818,100.80143,8,,,1,1230250.69,3
2011-07-01,00:00:00,UTC,1,7.88,1365.617,14,7.65229531,,,5.57,1783.3609999,25.5
2011-08-01,00:00:00,UTC,3,30,3505.419,389.07988,11.03,,54.32018154,1.61,6681.13864168,109.45966663
2011-09-01,00:00:00,UTC,3517.63274725,5.71,4894.11485,751.89014113,22.90561326,,1233.35249757,6.97718328,7039.464795685,5005.6696978
2011-10-01,00:00:00,UTC,3975.32111437,2.772,4935.0471981,1671.52357838,9.32316877,953.55955315,6.88203891,15,13998.9668849,19294.5718963
2011-11-01,00:00:00,UTC,7217.91064937,7.38910149,5207.9153202,2310.06124212,22.76773,565.88439681,59.50009763,2.14199588,164266.055805131,5296.29666469
2011-12-01,00:00:00,UTC,18143.39874357,4981.70173582,9310.30013264,29478.78743917,18467.47412629,101.43735568,188.117699,8195.70338695,1860744.40203187,1740.53837042
2012-01-01,00:00:00,UTC,3769.61523345,5056.16322971,9128.906,61523.97232914,23606.33439655,217.18789352,587.48188295,16093.20711835,3223498.40405971,6393.62891994
2012-02-01,00:00:00,UTC,10866.3858615,9862.70668853,6288.573,51042.41733516,42731.37273497,,1398.19384363,13405.74331096,2855740.80832109,3894.34207908
2012-03-01,00:00:00,UTC,9861.3187573,1435.12044934,8228.12,49876.08677683,48816.43143942,94.3117,1512.91400691,15565.83995697,1783625.74623348,5855.55806867
2012-04-01,00:00:00,UTC,14801.73037447,1683.55900582,7800.342,49191.29846646,49661.6833121,0.03,2377.85714565,11406.64888834,1692049.97599482,3365.46738094
2012-05-01,00:00:00,UTC,10299.63922438,2994.16879572,42835.178,62961.90952978,66937.5189317,0.11154426,3199.04990379,14319.21584507,1304349.13874668,6275.33461541
2012-06-01,00:00:00,UTC,9612.70516214,8575.17323499,15166.403,96061.2397708199,64541.61143078,0.03797625,5084.95618942,17231.23221211,1496287.60556126,6684.97652761
2012-07-01,00:00:00,UTC,10302.13140776,8194.7802499,24984.22,131186.91643826,89250.2609087699,975.09643658,8672.94271807,15102.11127766,2060525.67855264,7707.04684535
2012-08-01,00:00:00,UTC,13189.94958264,6267.19999879,45223.262,186484.73687557,82710.9627435101,838.90091242,37007.43411493,19497.75147702,2675324.37376437,8142.38866378
2012-09-01,00:00:00,UTC,10647.5705112,3114.52193296,19954.063,123122.4657934,51241.98890198,75.08078816,7888.65857365,8257.38500833,1048715.06778296,3963.99478623
2012-10-01,00:00:00,UTC,16970.30204037,2558.9018431,16625.572,143127.695449,32471.82308345,136.71273577,15457.32763844,9195.99760893,1298984.30700576,4052.14511323
2012-11-01,00:00:00,UTC,11197.89137764,4016.33399136,18632.375,130592.89096506,33617.15179694,74.2500986,16711.76494662,8819.08217932,1025373.31864721,5658.03382822
2012-12-01,00:00:00,UTC,38520.60008208,2102.2610246,21816.687,139943.36066294,34440.0060605,48.72180722,6255.21448537,7175.23835595,1072945.78841326,3059.52691896
2013-01-01,00:00:00,UTC,41474.70693164,4799.94950862,34158.384,194041.30056234,50988.05605894,765.19243274,13937.58969428,15067.03792134,1721884.37810213,5977.14200789
2013-02-01,00:00:00,UTC,28767.05513565,7142.20551861,47745.46569223,256451.92838853,45361.55686704,480.97329656,22670.52281849,10618.55457835,1817672.94214245,19253.96533545
2013-03-01,00:00:00,UTC,40957.9857514701,6353.42739282,136139.25741085,433879.88369895,76579.12926983,600.8364304,40970.78821013,20325.44096377,2499463.32390416,38890.15029661
2013-04-01,00:00:00,UTC,96185.9653713699,81469.26872872,329314.43534366,741520.27035247,131388.04732366,986.45338056,74391.82382311,84486.41991184,6330486.65832562,83589.3536639399
2013-05-01,00:00:00,UTC,36453.09058946,34536.72957071,165373.93030367,206055.85906549,41814.58954096,458.94481712,17991.54603454,34434.6281481899,2905124.73912917,27585.74206782
2013-06-01,00:00:00,UTC,31654.69371665,23172.46515644,125619.26840286,132252.37492933,28832.42701084,288.11073455,16098.75125274,21546.69989567,1589255.63630839,16547.64665642
